
-150.7753211558	1.#INF0e+000
-130.3681710214	1.35348e-001
-122.1543614729	6.30047e-002
-120.8816051663	1.04192e-002
-116.8243788720	3.35636e-002
-115.7888870462	8.86366e-003
-114.7392685561	9.06493e-003
-111.1105359117	3.16259e-002
-108.7681891169	2.10812e-002
-106.6817051537	1.91829e-002
-106.6565529482	2.35769e-004
-106.6008966806	5.21827e-004
-106.3200427003	2.63463e-003
-105.7213751341	5.63081e-003
-105.5787281423	1.34927e-003
-104.8196523125	7.18967e-003
-104.7319541797	8.36657e-004
-104.7250463815	6.59569e-005
-104.6293887910	9.13417e-004
-104.5567154520	6.94579e-004
-104.3967106198	1.53032e-003
-104.3431760565	5.12799e-004
-104.3438545066	-6.50210e-006
